 1878, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 06: Create Resources (person), inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1880, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 08: Maintain Resource Properties, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1882, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 10: Add/Remove Resources to Tasks Dependencies, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1884, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 12: Change Task Begin/End Times automatically with dependency changes, inner, T, T, T, InnerPureSurroundedT, CT, 1, 0, 0, 1, 0, 0
 1886, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 14: Prevent Circular Dependencies, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1888, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 16: Add/Remove Holidays and Vacation Days, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1890, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, XXX: General Purpose Code, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1892, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar.-init-(net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel;)V, 02: Delete Tasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1894, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar.-init-(net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel;)V, 04: Add/Remove Tasks as Subtasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1896, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar.-init-(net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel;)V, 06: Create Resources (person), leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
